127.0.0.1 - - [05/Mar/2021:19:50:20 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:21 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:38 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:38 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3215
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:38 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1224
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:38 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:38 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:38 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [05/Mar/2021:19:50:38 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:42 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:42 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:52:49 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Mar/2021:20:53:06 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 2
