0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:54 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:55 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:59 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:59 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:59 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:59 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:59 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:46:59 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:22:47:03 -0200] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:38 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:39 -0200] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:39 -0200] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:39 -0200] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:39 -0200] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:39 -0200] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:39 -0200] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Dec/2020:23:06:46 -0200] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
