127.0.0.1 - - [09/Apr/2021:20:27:53 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:48 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:49 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:49 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:49 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:51 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:51 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:51 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:42:51 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:37 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:39 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:39 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:39 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:39 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:39 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:40 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:40 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:40 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:40 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:41 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:41 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:41 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:51:41 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:08 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:10 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:10 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:10 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:10 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:10 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:11 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:11 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:11 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:12 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:12 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:12 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:12 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:52:12 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3697
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:05 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:07 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:07 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:07 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:20:53:07 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:08 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:10 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:10 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:10 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:10 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:26:10 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:36 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:36 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:38 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:41 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:43 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:43 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:43 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:43 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:43 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:58 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarPorId?id=6 HTTP/1.1" 200 26
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:58 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:58 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:58 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:58 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:59 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:59 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:27:59 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:28:00 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:14 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:14 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:14 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:14 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:14 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3956
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:15 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:15 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:16 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4545
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:16 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:16 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:31:16 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:27 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:27 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4190
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:27 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:27 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:28 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:28 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:28 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:29 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:29 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:29 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:29 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:46:29 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:27 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4190
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:27 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:27 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:27 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:27 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:29 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [09/Apr/2021:21:48:29 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
