0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:51:55 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:52:41 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:52:41 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4267
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:52:43 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:52:43 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:53:35 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:53:35 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:53:37 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:53:37 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:27 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:27 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:27 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:27 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:28 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:29 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4507
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:30 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:44 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:44 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:44 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:44 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:44 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:44 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:47 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4495
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:56:47 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:57:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:57:05 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4495
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:57:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:57:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:57:47 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:57:49 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:57:49 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:01 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:01 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:03 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:03 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:05 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:27 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:27 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:29 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:29 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:31 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:32 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:32 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:32 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:32 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:32 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:34 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:38 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:45 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:45 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:45 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:45 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:45 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:46 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:46 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:46 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:46 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:47 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4495
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:47 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:47 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:58:47 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:40 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:40 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:40 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:40 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4264
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:40 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:41 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:43 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:43 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:50 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [12/Apr/2021:19:59:52 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:51 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:51 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:51 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:51 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:51 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:51 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:53 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:00:53 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:09 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:09 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:09 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:09 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:10 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:12 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:12 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:55 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:55 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:56 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:02:56 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:03:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:03:07 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 4265
0:0:0:0:0:0:0:1 - - [12/Apr/2021:20:03:09 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:16:03 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:16:03 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:21:16:05 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4532
