127.0.0.1 - - [05/Apr/2021:18:46:02 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:03 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:03 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:03 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:03 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:03 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:04 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:04 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:15 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:16 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3229
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:16 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:16 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:16 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 1007
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:18 -0300] "GET /ProjetoTrilhaWeb/pages/admin/marca/ HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:18 -0300] "GET /ProjetoTrilhaWeb/js/marca.js HTTP/1.1" 200 4350
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:18 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:18 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:18 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:20 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:21 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:21 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:21 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:27 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "POST /ProjetoTrilhaWeb/rest/marca/inserir HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5873
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4618
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-icons_222222_256x240.png HTTP/1.1" 200 7025
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 406
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:31 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscarNome?valorBusca= HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:32 -0300] "GET /ProjetoTrilhaWeb/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:34 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 107
0:0:0:0:0:0:0:1 - - [05/Apr/2021:18:46:34 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 371
