127.0.0.1 - - [22/Mar/2021:19:32:56 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:56 -0300] "GET /ProjetoTrilhaWeb/ HTTP/1.1" 200 1495
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:56 -0300] "GET /ProjetoTrilhaWeb/css/site.css HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:56 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira1.png HTTP/1.1" 200 21198
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:56 -0300] "GET /ProjetoTrilhaWeb/js/site.js HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:56 -0300] "GET /ProjetoTrilhaWeb/imgs/geladeira2.png HTTP/1.1" 200 18537
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:57 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/cabecalho.html HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:57 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/menu.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:57 -0300] "GET /ProjetoTrilhaWeb/pages/site/general/rodape.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:32:57 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:46 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:46 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3229
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:46 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:46 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:46 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:47 -0300] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:47 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 105602
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:50 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:50 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:52 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:52 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:52 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:52 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:38:56 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=2 HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:39:04 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscarPorId?id=2 HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 3229
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 520714
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 39
0:0:0:0:0:0:0:1 - - [22/Mar/2021:19:48:54 -0300] "GET /favicon.ico HTTP/1.1" 404 759
